date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02,172.26,172.3,169.26,170.16,25048048,40.7220778832856,40.731533840068,40.0128811246077,40.2256401522111,100192192,0.0,1.0
2018-01-03,172.23,174.55,171.96,172.53,28819653,40.7149859156988,41.2634314090764,40.6511582074178,40.7859055915666,115278612,0.0,1.0
2018-01-04,173.03,173.47,172.08,172.54,22211345,40.9041050513463,41.0081205759524,40.679526077765,40.7882695807622,88845380,0.0,1.0
2018-01-05,175.0,175.37,173.05,173.44,23016177,41.3698109228781,41.4572785231151,40.9088330297375,41.0010286083656,92064708,0.0,1.0
2018-01-08,174.35,175.61,173.93,174.35,20134092,41.2161516251646,41.5140142638093,41.1168640789497,41.2161516251646,80536368,0.0,1.0
2018-01-09,174.33,175.06,173.41,174.55,21262614,41.2114236467734,41.3839948580517,40.9939366407788,41.2634314090764,85050456,0.0,1.0
2018-01-10,174.29,174.3,173.0,173.16,23589129,41.201967689991,41.2043316791866,40.8970130837595,40.934836910889,94356516,0.0,1.0
2018-01-11,175.28,175.49,174.49,174.59,17523256,41.4360026203547,41.4856463934622,41.2492474739029,41.2728873658588,70093024,0.0,1.0
2018-01-12,177.09,177.36,175.65,176.18,25039531,41.8638846647571,41.9277123730381,41.5234702205917,41.6487616479581,100158124,0.0,1.0
2018-01-16,176.19,179.39,176.14,177.9,29159005,41.6511256371537,42.4076021797435,41.6393056911757,42.0553677896001,116636020,0.0,1.0
2018-01-17,179.1,179.25,175.07,176.15,32752734,42.3390464930713,42.3745063310052,41.3863588472473,41.6416696803713,131010936,0.0,1.0
2018-01-18,179.26,180.1,178.25,179.37,30234512,42.3768703202008,42.5754454126306,42.1381074114459,42.4028742013523,120938048,0.0,1.0
2018-01-19,178.46,179.58,177.41,178.61,30827809,42.1877511845533,42.4525179744597,41.939532319016,42.2232110224872,123311236,0.0,1.0
2018-01-22,177.0,177.78,176.6,177.3,26023683,41.8426087619967,42.026999919253,41.748049194173,41.9135284378645,104094732,0.0,1.0
2018-01-23,177.04,179.44,176.82,177.3,31702531,41.8520647187791,42.4194221257214,41.8000569564761,41.9135284378645,126810124,0.0,1.0
2018-01-24,174.22,177.3,173.2,177.25,50562257,41.1854197656219,41.9135284378645,40.9442928676714,41.9017084918866,202249028,0.0,1.0
2018-01-25,171.11,174.95,170.53,174.51,39661804,40.4502191257924,41.3579909769002,40.313107752448,41.2539754522941,158647216,0.0,1.0
2018-01-26,171.51,172.0,170.06,172.0,37121805,40.5447786936162,40.6606141642002,40.2020002602552,40.6606141642002,148487220,0.0,1.0
2018-01-29,167.96,170.16,167.07,170.16,48434424,39.7055625291806,40.2256401522111,39.4951674907728,40.2256401522111,193737696,0.0,1.0
2018-01-30,166.97,167.37,164.7,165.53,45137026,39.4715275988169,39.5660871666406,38.9349020514173,39.1311131546515,180548104,0.0,1.0
2018-01-31,167.43,168.44,166.5,166.87,30984099,39.5802711018142,39.8190340105691,39.360420106624,39.447887706861,123936396,0.0,1.0
2018-02-01,167.78,168.62,166.76,167.17,38099665,39.66301072366,39.8615858160898,39.4218838257095,39.5188073827288,152398660,0.0,1.0
2018-02-02,160.5,166.8,160.1,166.0,85436075,37.9420265892682,39.4313397824918,37.8474670214445,39.2422206468444,341744300,0.0,1.0
2018-02-05,156.49,163.88,156.0,159.1,66090446,36.9940669218354,38.7410549373787,36.8782314512514,37.6110681018852,264361784,0.0,1.0
2018-02-06,163.03,163.72,154.0,154.83,66625484,38.5401158557533,38.7032311102492,36.4054336121327,36.601644715367,266501936,0.0,1.0
2018-02-07,159.54,163.4,159.07,163.09,50852130,37.7150836264913,38.6275834559902,37.6039761342984,38.5542997909268,203408520,0.0,1.0
2018-02-08,155.15,161.0,155.03,160.29,49594129,36.6772923696259,38.0602260490479,36.6489244992788,37.8923828161608,198376516,0.0,1.0
2018-02-09,156.41,157.89,150.24,157.07,66723743,37.124086327593,37.4753659629414,35.6596300099583,37.28073805687,266894972,0.63,1.0
2018-02-12,162.71,163.89,157.51,158.5,60560145,38.6193982888732,38.8994725927321,37.3851725430547,37.6201501369701,242240580,0.0,1.0
2018-02-13,164.34,164.75,161.65,161.95,32104756,39.0062805899664,39.1035945430021,38.3678061176102,38.4390114490997,128419024,0.0,1.0
2018-02-14,167.37,167.54,162.88,163.04,39669178,39.7254544380107,39.7658041258547,38.6597479767173,38.6977241535117,158676712,0.0,1.0
2018-02-15,172.99,173.09,169.0,169.79,50609595,41.0593676479146,41.0831027584111,40.1123367391038,40.2998441120262,202438380,0.0,1.0
2018-02-16,172.43,174.82,171.77,172.36,39638793,40.9264510291341,41.4937201700007,40.7697992998571,40.9098364517866,158555172,0.0,1.0
2018-02-20,171.85,174.26,171.42,172.05,33531012,40.7887873882543,41.3608035512203,40.6867264131193,40.8362576092474,134124048,0.0,1.0
2018-02-21,171.07,174.12,171.01,172.83,35833514,40.6036535263816,41.3275743965252,40.5894124600837,41.0213914711202,143334056,0.0,1.0
2018-02-22,172.5,173.95,171.71,171.8,30504116,40.9430656064817,41.2872247086811,40.7555582335592,40.7769198330061,122016464,0.0,1.0
2018-02-23,175.5,175.65,173.54,173.67,33329232,41.655118921377,41.6907215871218,41.1899107556454,41.2207663992908,133316928,0.0,1.0
2018-02-26,178.97,179.39,176.21,176.35,36886432,42.4787272556059,42.5784147196913,41.8236382059022,41.8568673605973,147545728,0.0,1.0
2018-02-27,178.39,180.48,178.16,179.1,38685165,42.3410636147262,42.8371274241033,42.2864728605842,42.5095828992514,154740660,0.0,1.0
2018-02-28,178.12,180.62,178.05,179.26,33604574,42.2769788163856,42.8703565787984,42.260364239038,42.5475590760458,134418296,0.0,1.0
2018-03-01,175.0,179.78,172.66,178.54,48801970,41.5364433688944,42.6709816506277,40.9810417832761,42.3766662804709,195207880,0.0,1.0
2018-03-02,176.21,176.3,172.45,172.8,38453950,41.8236382059022,41.8449998053491,40.9311980512334,41.0142709379712,153815800,0.0,1.0
2018-03-05,176.82,177.74,174.52,175.21,28401366,41.9684223799309,42.1867853964988,41.4225148385112,41.5862871009371,113605464,0.0,1.0
2018-03-06,176.67,178.25,176.13,177.91,23788506,41.9328197141862,42.3078344600311,41.804650117505,42.2271350843429,95154024,0.0,1.0
2018-03-07,175.03,175.85,174.27,174.94,31703462,41.5435639020434,41.7381918081148,41.3631770622699,41.5222023025965,126813848,0.0,1.0
2018-03-08,176.94,177.12,175.07,175.48,23163767,41.9969045125268,42.0396277114205,41.553057946242,41.6503718992777,92655068,0.0,1.0
2018-03-09,179.98,180.0,177.39,177.96,31385134,42.7184518716207,42.72319889372,42.1037125097611,42.2390026395912,125540536,0.0,1.0
2018-03-12,181.72,182.39,180.21,180.29,32055405,43.13144279426,43.2904680345866,42.7730426257627,42.7920307141599,128221620,0.0,1.0
2018-03-13,179.97,183.5,179.24,182.59,31168404,42.716078360571,43.5539277610979,42.5428120539465,43.3379382555796,124673616,0.0,1.0
2018-03-14,178.44,180.52,177.81,180.32,29075469,42.3529311699744,42.8466214683019,42.2033999738464,42.7991512473088,116301876,0.0,1.0
2018-03-15,178.65,180.24,178.07,178.5,22584565,42.4027749020171,42.7801631589116,42.2651112611373,42.3671722362723,90338260,0.0,1.0
2018-03-16,178.02,179.12,177.62,178.65,36836456,42.2532437058891,42.5143299213507,42.158303263903,42.4027749020171,147345824,0.0,1.0
2018-03-19,175.3,177.47,173.66,177.32,32804695,41.607648700384,42.1227005981583,41.2183928882412,42.0870979324135,131218780,0.0,1.0
2018-03-20,175.24,176.8,174.94,175.24,19314039,41.5934076340861,41.9636753578316,41.5222023025965,41.5934076340861,77256156,0.0,1.0
2018-03-21,171.27,175.09,171.26,175.04,35247358,40.6511237473746,41.5578049683413,40.6487502363249,41.545937413093,140989432,0.0,1.0
2018-03-22,168.85,172.68,168.6,170.0,41051076,40.076734073359,40.9857888053754,40.0173962971177,40.3496878440689,164204304,0.0,1.0
2018-03-23,164.94,169.92,164.94,168.39,40248954,39.1486912529454,40.3306997556717,39.1486912529454,39.9675525650751,160995816,0.0,1.0
2018-03-26,172.77,173.1,166.44,168.07,36272617,41.0071504048222,41.0854762694607,39.5047179103931,39.8916002114862,145090468,0.0,1.0
2018-03-27,168.34,175.15,166.92,173.68,38962839,39.9556850098268,41.5720460346392,39.6186464407763,41.2231399103405,155851356,0.0,1.0
2018-03-28,166.48,170.02,165.19,167.25,41668545,39.5142119545917,40.3544348661682,39.2080290291867,39.6969723054148,166674180,0.0,1.0
2018-03-29,167.78,171.75,166.9,167.81,38398505,39.8227683910463,40.7650522777578,39.613899418677,39.8298889241953,153594020,0.0,1.0
2018-04-02,166.68,168.94,164.47,166.64,37586791,39.5616821755847,40.0980956728059,39.0371362336118,39.5521881313861,150347164,0.0,1.0
2018-04-03,168.39,168.75,164.88,167.64,30278046,39.9675525650751,40.0529989628625,39.1344501866475,39.7895392363512,121112184,0.0,1.0
2018-04-04,171.61,172.01,164.77,164.88,34605489,40.7318231230627,40.8267635650488,39.1083415651014,39.1344501866475,138421956,0.0,1.0
2018-04-05,172.8,174.23,172.08,172.58,26933197,41.0142709379712,41.3536830180713,40.8433781423963,40.9620536948789,107732788,0.0,1.0
2018-04-06,168.38,172.48,168.2,170.97,35005290,39.9651790540254,40.9383185843824,39.9224558551317,40.579918415885,140021160,0.0,1.0
2018-04-09,170.05,173.09,169.85,169.88,29017718,40.3615553993171,41.0831027584111,40.3140851783241,40.3212057114731,116070872,0.0,1.0
2018-04-10,173.25,174.0,171.53,173.0,28614241,41.1210789352055,41.2990922639293,40.7128350346655,41.0617411589642,114456964,0.0,1.0
2018-04-11,172.44,173.92,171.7,172.23,22431640,40.9288245401838,41.2801041755321,40.7531847225096,40.8789808081411,89726560,0.0,1.0
2018-04-12,174.14,175.0,173.04,173.41,22889285,41.3323214186244,41.5364433688944,41.0712352031628,41.1590551119999,91557140,0.0,1.0
